year,state,price
2003,New South Wales,338500
2003,Queensland,381500
2003,Northern Territory,405000
2003,Western Australia,377500
2003,South Australia,270000
2003,Tasmania,250000
2003,Victoria,291750
2003,Australian Capital Territory,515000
