year,state,price
2003,New South Wales,305000
2003,Queensland,376400
2003,Northern Territory,340000
2003,Western Australia,372500
2003,South Australia,254000
2003,Tasmania,242500
2003,Victoria,247500
2003,Australian Capital Territory,457750
