year,state,price
2003,New South Wales,720000
2003,Queensland,490000
2003,Northern Territory,462500
2003,Western Australia,412500
2003,South Australia,332500
2003,Tasmania,433000
2003,Victoria,585000
2003,Australian Capital Territory,924000
