year,state,price
2003,New South Wales,272500
2003,Queensland,239500
2003,Northern Territory,222400
2003,Western Australia,181500
2003,South Australia,172000
2003,Tasmania,158000
2003,Victoria,195000
2003,Australian Capital Territory,373500
