year,state,price
2003,New South Wales,472500
2003,Queensland,440500
2003,Northern Territory,421000
2003,Western Australia,325000
2003,South Australia,286250
2003,Tasmania,315000
2003,Victoria,372500
2003,Australian Capital Territory,702500
