year,state,price
2014,New South Wales,368300
2014,Queensland,390000
2014,Northern Territory,420000
2014,Western Australia,374500
2014,South Australia,260000
2014,Tasmania,250250
2014,Victoria,288000
2014,Australian Capital Territory,553850
