year,state,price
2003,New South Wales,460000
2003,Queensland,447000
2003,Northern Territory,433800
2003,Western Australia,333500
2003,South Australia,275450
2003,Tasmania,274250
2003,Victoria,330000
2003,Australian Capital Territory,668750
