year,state,price
2003,New South Wales,427750
2003,Queensland,430000
2003,Northern Territory,440250
2003,Western Australia,337500
2003,South Australia,272500
2003,Tasmania,259500
2003,Victoria,310500
2003,Australian Capital Territory,619400
