year,state,price
2003,New South Wales,340000
2003,Queensland,391500
2003,Northern Territory,408250
2003,Western Australia,385000
2003,South Australia,277650
2003,Tasmania,260000
2003,Victoria,279100
2003,Australian Capital Territory,530000
