year,state,price
2003,New South Wales,500000
2003,Queensland,439500
2003,Northern Territory,427250
2003,Western Australia,351000
2003,South Australia,287700
2003,Tasmania,345000
2003,Victoria,402500
2003,Australian Capital Territory,737750
