year,state,price
2018,New South Wales,477500
2018,Queensland,437500
2018,Northern Territory,448750
2018,Western Australia,320750
2018,South Australia,280000
2018,Tasmania,297500
2018,Victoria,355000
2018,Australian Capital Territory,699250
