year,state,price
2003,New South Wales,290000
2003,Queensland,315450
2003,Northern Territory,243750
2003,Western Australia,329500
2003,South Australia,210000
2003,Tasmania,197000
2003,Victoria,223000
2003,Australian Capital Territory,406250
