year,state,price
2003,New South Wales,345500
2003,Queensland,380000
2003,Northern Territory,393750
2003,Western Australia,377500
2003,South Australia,267500
2003,Tasmania,249500
2003,Victoria,290750
2003,Australian Capital Territory,501250
