year,state,price
2003,New South Wales,301250
2003,Queensland,372500
2003,Northern Territory,285000
2003,Western Australia,362500
2003,South Australia,245000
2003,Tasmania,232500
2003,Victoria,237500
2003,Australian Capital Territory,460000
