year,state,price
2003,New South Wales,251150
2003,Queensland,201000
2003,Northern Territory,199750
2003,Western Australia,162000
2003,South Australia,156000
2003,Tasmania,132150
2003,Victoria,180500
2003,Australian Capital Territory,367500
