year,state,price
2013,New South Wales,356250
2013,Queensland,388150
2013,Northern Territory,402450
2013,Western Australia,380250
2013,South Australia,254000
2013,Tasmania,250000
2013,Victoria,298000
2013,Australian Capital Territory,505000
