State,Industry,Employed
New South Wales,"Agriculture, forestry and fishing",120
New South Wales,Mining,26
New South Wales,Manufacturing,258
New South Wales,"Electricity, gas, water and waste services",35
New South Wales,Construction,380
New South Wales,Wholesale trade,207
New South Wales,Retail trade,427
New South Wales,Accommodation and food services,354
New South Wales,"Transport, postal and warehousing",212
New South Wales,Information media and telecommunications,80
New South Wales,"Rental, hiring and real estate services",151
New South Wales,"Professional, scientific and technical services",446
New South Wales,Administrative and support services,347
New South Wales,Public administration and safety (private),25
New South Wales,Education and training (private),154
New South Wales,Health care and social assistance (private),424
New South Wales,Arts and recreation services,65
New South Wales,Other services,164
Victoria,"Agriculture, forestry and fishing",100
Victoria,Mining,8
Victoria,Manufacturing,249
Victoria,"Electricity, gas, water and waste services",28
Victoria,Construction,291
Victoria,Wholesale trade,168
Victoria,Retail trade,365
Victoria,Accommodation and food services,257
Victoria,"Transport, postal and warehousing",157
Victoria,Information media and telecommunications,49
Victoria,"Rental, hiring and real estate services",103
Victoria,"Professional, scientific and technical services",308
Victoria,Administrative and support services,258
Victoria,Public administration and safety (private),22
Victoria,Education and training (private),113
Victoria,Health care and social assistance (private),336
Victoria,Arts and recreation services,69
Victoria,Other services,125
Queensland,"Agriculture, forestry and fishing",100
Queensland,Mining,45
Queensland,Manufacturing,162
Queensland,"Electricity, gas, water and waste services",25
Queensland,Construction,215
Queensland,Wholesale trade,86
Queensland,Retail trade,255
Queensland,Accommodation and food services,203
Queensland,"Transport, postal and warehousing",131
Queensland,Information media and telecommunications,20
Queensland,"Rental, hiring and real estate services",87
Queensland,"Professional, scientific and technical services",182
Queensland,Administrative and support services,168
Queensland,Public administration and safety (private),15
Queensland,Education and training (private),81
Queensland,Health care and social assistance (private),268
Queensland,Arts and recreation services,41
Queensland,Other services,105
South Australia,"Agriculture, forestry and fishing",47
South Australia,Mining,9
South Australia,Manufacturing,66
South Australia,"Electricity, gas, water and waste services",8
South Australia,Construction,57
South Australia,Wholesale trade,28
South Australia,Retail trade,92
South Australia,Accommodation and food services,59
South Australia,"Transport, postal and warehousing",35
South Australia,Information media and telecommunications,7
South Australia,"Rental, hiring and real estate services",21
South Australia,"Professional, scientific and technical services",50
South Australia,Administrative and support services,51
South Australia,Public administration and safety (private),4
South Australia,Education and training (private),27
South Australia,Health care and social assistance (private),95
South Australia,Arts and recreation services,12
South Australia,Other services,31
Western Australia,"Agriculture, forestry and fishing",55
Western Australia,Mining,84
Western Australia,Manufacturing,83
Western Australia,"Electricity, gas, water and waste services",13
Western Australia,Construction,123
Western Australia,Wholesale trade,51
Western Australia,Retail trade,135
Western Australia,Accommodation and food services,99
Western Australia,"Transport, postal and warehousing",65
Western Australia,Information media and telecommunications,9
Western Australia,"Rental, hiring and real estate services",39
Western Australia,"Professional, scientific and technical services",107
Western Australia,Administrative and support services,86
Western Australia,Public administration and safety (private),10
Western Australia,Education and training (private),40
Western Australia,Health care and social assistance (private),130
Western Australia,Arts and recreation services,19
Western Australia,Other services,58
Tasmania,"Agriculture, forestry and fishing",21
Tasmania,Mining,2
Tasmania,Manufacturing,18
Tasmania,"Electricity, gas, water and waste services",4
Tasmania,Construction,18
Tasmania,Wholesale trade,7
Tasmania,Retail trade,25
Tasmania,Accommodation and food services,21
Tasmania,"Transport, postal and warehousing",12
Tasmania,Information media and telecommunications,2
Tasmania,"Rental, hiring and real estate services",6
Tasmania,"Professional, scientific and technical services",11
Tasmania,Administrative and support services,12
Tasmania,Public administration and safety (private),1
Tasmania,Education and training (private),6
Tasmania,Health care and social assistance (private),30
Tasmania,Arts and recreation services,4
Tasmania,Other services,10
Northern Territory,"Agriculture, forestry and fishing",5
Northern Territory,Mining,4
Northern Territory,Manufacturing,3
Northern Territory,"Electricity, gas, water and waste services",1
Northern Territory,Construction,14
Northern Territory,Wholesale trade,3
Northern Territory,Retail trade,11
Northern Territory,Accommodation and food services,12
Northern Territory,"Transport, postal and warehousing",5
Northern Territory,Information media and telecommunications,1
Northern Territory,"Rental, hiring and real estate services",3
Northern Territory,"Professional, scientific and technical services",6
Northern Territory,Administrative and support services,7
Northern Territory,Public administration and safety (private),1
Northern Territory,Education and training (private),3
Northern Territory,Health care and social assistance (private),13
Northern Territory,Arts and recreation services,3
Northern Territory,Other services,6
Australian Capital Territory,"Agriculture, forestry and fishing",1
Australian Capital Territory,Mining,0
Australian Capital Territory,Manufacturing,5
Australian Capital Territory,"Electricity, gas, water and waste services",1
Australian Capital Territory,Construction,18
Australian Capital Territory,Wholesale trade,3
Australian Capital Territory,Retail trade,20
Australian Capital Territory,Accommodation and food services,19
Australian Capital Territory,"Transport, postal and warehousing",6
Australian Capital Territory,Information media and telecommunications,4
Australian Capital Territory,"Rental, hiring and real estate services",6
Australian Capital Territory,"Professional, scientific and technical services",33
Australian Capital Territory,Administrative and support services,21
Australian Capital Territory,Public administration and safety (private),3
Australian Capital Territory,Education and training (private),9
Australian Capital Territory,Health care and social assistance (private),24
Australian Capital Territory,Arts and recreation services,4
Australian Capital Territory,Other services,11
