State,Industry,Employed
New South Wales,"Agriculture, forestry and fishing",118
New South Wales,Mining,27
New South Wales,Manufacturing,255
New South Wales,"Electricity, gas, water and waste services",34
New South Wales,Construction,377
New South Wales,Wholesale trade,206
New South Wales,Retail trade,428
New South Wales,Accommodation and food services,322
New South Wales,"Transport, postal and warehousing",213
New South Wales,Information media and telecommunications,75
New South Wales,"Rental, hiring and real estate services",143
New South Wales,"Professional, scientific and technical services",432
New South Wales,Administrative and support services,310
New South Wales,Public administration and safety (private),29
New South Wales,Education and training (private),148
New South Wales,Health care and social assistance (private),432
New South Wales,Arts and recreation services,60
New South Wales,Other services,157
Victoria,"Agriculture, forestry and fishing",102
Victoria,Mining,8
Victoria,Manufacturing,245
Victoria,"Electricity, gas, water and waste services",29
Victoria,Construction,287
Victoria,Wholesale trade,161
Victoria,Retail trade,371
Victoria,Accommodation and food services,248
Victoria,"Transport, postal and warehousing",162
Victoria,Information media and telecommunications,45
Victoria,"Rental, hiring and real estate services",95
Victoria,"Professional, scientific and technical services",309
Victoria,Administrative and support services,243
Victoria,Public administration and safety (private),24
Victoria,Education and training (private),115
Victoria,Health care and social assistance (private),352
Victoria,Arts and recreation services,63
Victoria,Other services,118
Queensland,"Agriculture, forestry and fishing",96
Queensland,Mining,46
Queensland,Manufacturing,156
Queensland,"Electricity, gas, water and waste services",25
Queensland,Construction,214
Queensland,Wholesale trade,87
Queensland,Retail trade,254
Queensland,Accommodation and food services,188
Queensland,"Transport, postal and warehousing",131
Queensland,Information media and telecommunications,19
Queensland,"Rental, hiring and real estate services",84
Queensland,"Professional, scientific and technical services",180
Queensland,Administrative and support services,156
Queensland,Public administration and safety (private),15
Queensland,Education and training (private),81
Queensland,Health care and social assistance (private),282
Queensland,Arts and recreation services,38
Queensland,Other services,105
South Australia,"Agriculture, forestry and fishing",46
South Australia,Mining,10
South Australia,Manufacturing,64
South Australia,"Electricity, gas, water and waste services",9
South Australia,Construction,57
South Australia,Wholesale trade,29
South Australia,Retail trade,93
South Australia,Accommodation and food services,56
South Australia,"Transport, postal and warehousing",36
South Australia,Information media and telecommunications,7
South Australia,"Rental, hiring and real estate services",23
South Australia,"Professional, scientific and technical services",50
South Australia,Administrative and support services,48
South Australia,Public administration and safety (private),4
South Australia,Education and training (private),27
South Australia,Health care and social assistance (private),96
South Australia,Arts and recreation services,11
South Australia,Other services,30
Western Australia,"Agriculture, forestry and fishing",54
Western Australia,Mining,90
Western Australia,Manufacturing,83
Western Australia,"Electricity, gas, water and waste services",14
Western Australia,Construction,119
Western Australia,Wholesale trade,52
Western Australia,Retail trade,136
Western Australia,Accommodation and food services,94
Western Australia,"Transport, postal and warehousing",67
Western Australia,Information media and telecommunications,8
Western Australia,"Rental, hiring and real estate services",42
Western Australia,"Professional, scientific and technical services",106
Western Australia,Administrative and support services,90
Western Australia,Public administration and safety (private),9
Western Australia,Education and training (private),35
Western Australia,Health care and social assistance (private),135
Western Australia,Arts and recreation services,19
Western Australia,Other services,55
Tasmania,"Agriculture, forestry and fishing",22
Tasmania,Mining,2
Tasmania,Manufacturing,18
Tasmania,"Electricity, gas, water and waste services",4
Tasmania,Construction,18
Tasmania,Wholesale trade,7
Tasmania,Retail trade,25
Tasmania,Accommodation and food services,19
Tasmania,"Transport, postal and warehousing",12
Tasmania,Information media and telecommunications,2
Tasmania,"Rental, hiring and real estate services",6
Tasmania,"Professional, scientific and technical services",12
Tasmania,Administrative and support services,12
Tasmania,Public administration and safety (private),1
Tasmania,Education and training (private),5
Tasmania,Health care and social assistance (private),32
Tasmania,Arts and recreation services,4
Tasmania,Other services,10
Northern Territory,"Agriculture, forestry and fishing",4
Northern Territory,Mining,4
Northern Territory,Manufacturing,3
Northern Territory,"Electricity, gas, water and waste services",1
Northern Territory,Construction,13
Northern Territory,Wholesale trade,3
Northern Territory,Retail trade,11
Northern Territory,Accommodation and food services,12
Northern Territory,"Transport, postal and warehousing",6
Northern Territory,Information media and telecommunications,1
Northern Territory,"Rental, hiring and real estate services",3
Northern Territory,"Professional, scientific and technical services",6
Northern Territory,Administrative and support services,6
Northern Territory,Public administration and safety (private),2
Northern Territory,Education and training (private),3
Northern Territory,Health care and social assistance (private),12
Northern Territory,Arts and recreation services,2
Northern Territory,Other services,6
Australian Capital Territory,"Agriculture, forestry and fishing",1
Australian Capital Territory,Mining,0
Australian Capital Territory,Manufacturing,4
Australian Capital Territory,"Electricity, gas, water and waste services",1
Australian Capital Territory,Construction,18
Australian Capital Territory,Wholesale trade,3
Australian Capital Territory,Retail trade,20
Australian Capital Territory,Accommodation and food services,19
Australian Capital Territory,"Transport, postal and warehousing",6
Australian Capital Territory,Information media and telecommunications,3
Australian Capital Territory,"Rental, hiring and real estate services",6
Australian Capital Territory,"Professional, scientific and technical services",35
Australian Capital Territory,Administrative and support services,20
Australian Capital Territory,Public administration and safety (private),3
Australian Capital Territory,Education and training (private),8
Australian Capital Territory,Health care and social assistance (private),28
Australian Capital Territory,Arts and recreation services,3
Australian Capital Territory,Other services,10
