State,Year,Net,Long,Lat
Australian Capital Territory,20,287,1143.905683,594.0142658
New South Wales,20,-18873,1109.164988,525.806029
Northern Territory,20,-1342,871.0929596,279.1733924
Queensland,20,30018,1066.914133,338.6111913
South Australia,20,98,914.8155306,485.1199394
Tasmania,20,1164,1101.934836,738.7199589
Victoria,20,-12737,1062.133333,623.873451
Western Australia,20,1385,674.9351692,396.3501639
