State,Year,Net,Long,Lat
Australian Capital Territory,17,672,1143.9056828741052,594.0142657803358
New South Wales,17,-19299,1109.1649876534298,525.8060289602937
Northern Territory,17,-3263,871.0929595656122,279.1733924444953
Queensland,17,22510,1066.9141333355792,338.6111912522808
South Australia,17,-6071,914.8155306377707,485.1199393786785
Tasmania,17,1883,1101.9348361154143,738.7199588798892
Victoria,17,16386,1062.1333328215464,623.8734510470566
Western Australia,17,-12818,674.9351692176515,396.3501638921841
