State,Year,Net,Long,Lat
Australian Capital Territory,5,470,1143.9056828741052,594.0142657803358
New South Wales,5,-26484,1109.1649876534298,525.8060289602937
Northern Territory,5,726,871.0929595656122,279.1733924444953
Queensland,5,29141,1066.9141333355792,338.6111912522808
South Australia,5,-3366,914.8155306377707,485.1199393786785
Tasmania,5,306,1101.9348361154143,738.7199588798892
Victoria,5,-3571,1062.1333328215464,623.8734510470566
Western Australia,5,2818,674.9351692176515,396.3501638921841
