State,Year,Net,Long,Lat
Australian Capital Territory,13,230,1143.9056828741052,594.0142657803358
New South Wales,13,-11320,1109.1649876534298,525.8060289602937
Northern Territory,13,-1536,871.0929595656122,279.1733924444953
Queensland,13,7426,1066.9141333355792,338.6111912522808
South Australia,13,-4745,914.8155306377707,485.1199393786785
Tasmania,13,-760,1101.9348361154143,738.7199588798892
Victoria,13,8596,1062.1333328215464,623.8734510470566
Western Australia,13,2109,674.9351692176515,396.3501638921841
