State,Year,Net,Long,Lat
Australian Capital Territory,7,892,1143.9056828741052,594.0142657803358
New South Wales,7,-22914,1109.1649876534298,525.8060289602937
Northern Territory,7,1077,871.0929595656122,279.1733924444953
Queensland,7,21953,1066.9141333355792,338.6111912522808
South Australia,7,-3664,914.8155306377707,485.1199393786785
Tasmania,7,212,1101.9348361154143,738.7199588798892
Victoria,7,-2558,1062.1333328215464,623.8734510470566
Western Australia,7,4855,674.9351692176515,396.3501638921841
