State,Year,Net,Long,Lat
Australian Capital Territory,14,-1131,1143.9056828741052,594.0142657803358
New South Wales,14,-5582,1109.1649876534298,525.8060289602937
Northern Territory,14,-2439,871.0929595656122,279.1733924444953
Queensland,14,6179,1066.9141333355792,338.6111912522808
South Australia,14,-3657,914.8155306377707,485.1199393786785
Tasmania,14,-624,1101.9348361154143,738.7199588798892
Victoria,14,10241,1062.1333328215464,623.8734510470566
Western Australia,14,-2987,674.9351692176515,396.3501638921841
