State,Year,Net,Long,Lat
Australian Capital Territory,16,1191,1143.9056828741052,594.0142657803358
New South Wales,16,-13047,1109.1649876534298,525.8060289602937
Northern Territory,16,-2483,871.0929595656122,279.1733924444953
Queensland,16,15037,1066.9141333355792,338.6111912522808
South Australia,16,-7746,914.8155306377707,485.1199393786785
Tasmania,16,1227,1101.9348361154143,738.7199588798892
Victoria,16,18939,1062.1333328215464,623.8734510470566
Western Australia,16,-13133,674.9351692176515,396.3501638921841
