State,Year,Net,Long,Lat
Australian Capital Territory,19,-589,1143.9056828741052,594.0142657803358
New South Wales,19,-22447,1109.1649876534298,525.8060289602937
Northern Territory,19,-3994,871.0929595656122,279.1733924444953
Queensland,19,22928,1066.9141333355792,338.6111912522808
South Australia,19,-3861,914.8155306377707,485.1199393786785
Tasmania,19,1438,1101.9348361154143,738.7199588798892
Victoria,19,10649,1062.1333328215464,623.8734510470566
Western Australia,19,-4124,674.9351692176515,396.3501638921841
